SERVICE_DATE,PEAK_OFFPEAK_IND,MODE_TYPE,ROUTE_OR_LINE,ROUTE_TYPE,STOP,METRIC_TYPE,OTP_NUMERATOR,OTP_DENOMINATOR
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,29,OTH,,"Headway / Schedule Adherence",137.000000000,324.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,326,OTH,,"Headway / Schedule Adherence",93.000000000,118.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,429,OTH,,"Headway / Schedule Adherence",74.000000000,135.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,449,OTH,,"Headway / Schedule Adherence",9.000000000,31.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,45,OTH,,"Headway / Schedule Adherence",327.000000000,409.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,503,OTH,,"Headway / Schedule Adherence",42.000000000,62.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,553,OTH,,"Headway / Schedule Adherence",62.000000000,95.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,89,OTH,,"Headway / Schedule Adherence",164.000000000,289.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,97,OTH,,"Headway / Schedule Adherence",73.000000000,116.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,CT3,OTH,,"Headway / Schedule Adherence",196.000000000,256.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Commuter,"Kingston/Plymouth Line",,,"Headway / Schedule Adherence",9.000000000,9.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Green-B Line","Green Line","Allston Street ","Passenger Wait Time",41.469509022,210.948027561
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Green-B Line","Green Line","Copley ","Passenger Wait Time",121.312904562,733.026943058
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Green-C Line","Green Line","Dean Road ","Passenger Wait Time",23.548152443,82.600088577
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Green-D Line","Green Line","Eliot ","Passenger Wait Time",21.596105562,102.740237794
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Green-D Line","Green Line","Fenway ","Passenger Wait Time",69.275166176,226.537614189
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Green-E Line","Green Line","Mission Park ","Passenger Wait Time",47.120316997,123.680405474
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Orange Line","Orange Line","Jackson Square ","Passenger Wait Time",120.201528841,1722.482868936
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Orange Line","Orange Line","State Street ","Passenger Wait Time",431.693765340,4476.817582680
02-MAR-2016,"Off-Peak Service (All Other Times)",Rail,"Green-E Line","Green Line","Copley ","Passenger Wait Time",797.515853643,2172.246871498
02-MAR-2016,"Off-Peak Service (All Other Times)",Rail,"Orange Line","Orange Line","Tufts Medical Center ","Passenger Wait Time",155.152994698,2406.838810168
